initial_epoch,model,dataset,k,accuracy
70,ResNet86,CIFAR10,1,0.9428
71,ResNet86,CIFAR10,1,0.9401
72,ResNet86,CIFAR10,1,0.9415
73,ResNet86,CIFAR10,1,0.9431
74,ResNet86,CIFAR10,1,0.9438
75,ResNet86,CIFAR10,1,0.9398
76,ResNet86,CIFAR10,1,0.9406
77,ResNet86,CIFAR10,1,0.9443
78,ResNet86,CIFAR10,1,0.9441
79,ResNet86,CIFAR10,1,0.9426
80,ResNet86,CIFAR10,1,0.9447
81,ResNet86,CIFAR10,1,0.9458
82,ResNet86,CIFAR10,1,0.9415
83,ResNet86,CIFAR10,1,0.9428
84,ResNet86,CIFAR10,1,0.9428
85,ResNet86,CIFAR10,1,0.9421
86,ResNet86,CIFAR10,1,0.9431
87,ResNet86,CIFAR10,1,0.9419
88,ResNet86,CIFAR10,1,0.9391
89,ResNet86,CIFAR10,1,0.9437
90,ResNet86,CIFAR10,1,0.9444
91,ResNet86,CIFAR10,1,0.9435
92,ResNet86,CIFAR10,1,0.9414
93,ResNet86,CIFAR10,1,0.9413
94,ResNet86,CIFAR10,1,0.9431
95,ResNet86,CIFAR10,1,0.9427
96,ResNet86,CIFAR10,1,0.9425
97,ResNet86,CIFAR10,1,0.9412
98,ResNet86,CIFAR10,1,0.9414
99,ResNet86,CIFAR10,1,0.9427
100,ResNet86,CIFAR10,1,0.9412
101,ResNet86,CIFAR10,1,0.9414
102,ResNet86,CIFAR10,1,0.9426
103,ResNet86,CIFAR10,1,0.9417
104,ResNet86,CIFAR10,1,0.9405
105,ResNet86,CIFAR10,1,0.9412
106,ResNet86,CIFAR10,1,0.9419
107,ResNet86,CIFAR10,1,0.9433
108,ResNet86,CIFAR10,1,0.9411
109,ResNet86,CIFAR10,1,0.9434
110,ResNet86,CIFAR10,1,0.9419
111,ResNet86,CIFAR10,1,0.9422
112,ResNet86,CIFAR10,1,0.9437
113,ResNet86,CIFAR10,1,0.9408
114,ResNet86,CIFAR10,1,0.9408
115,ResNet86,CIFAR10,1,0.944
116,ResNet86,CIFAR10,1,0.9445
117,ResNet86,CIFAR10,1,0.9433
118,ResNet86,CIFAR10,1,0.9418
119,ResNet86,CIFAR10,1,0.9434
120,ResNet86,CIFAR10,1,0.9443
121,ResNet86,CIFAR10,1,0.9389
122,ResNet86,CIFAR10,1,0.9419
123,ResNet86,CIFAR10,1,0.9417
124,ResNet86,CIFAR10,1,0.9434
125,ResNet86,CIFAR10,1,0.9414
126,ResNet86,CIFAR10,1,0.9421
127,ResNet86,CIFAR10,1,0.9426
128,ResNet86,CIFAR10,1,0.9418
129,ResNet86,CIFAR10,1,0.9425
130,ResNet86,CIFAR10,1,0.9432
131,ResNet86,CIFAR10,1,0.9436
132,ResNet86,CIFAR10,1,0.9418
133,ResNet86,CIFAR10,1,0.9424
134,ResNet86,CIFAR10,1,0.9439
135,ResNet86,CIFAR10,1,0.9405
136,ResNet86,CIFAR10,1,0.9423
137,ResNet86,CIFAR10,1,0.9416
138,ResNet86,CIFAR10,1,0.9419
139,ResNet86,CIFAR10,1,0.9424
140,ResNet86,CIFAR10,1,0.9445
141,ResNet86,CIFAR10,1,0.9425
142,ResNet86,CIFAR10,1,0.9395
143,ResNet86,CIFAR10,1,0.9435
144,ResNet86,CIFAR10,1,0.9442
145,ResNet86,CIFAR10,1,0.9437
146,ResNet86,CIFAR10,1,0.9438
147,ResNet86,CIFAR10,1,0.9442
148,ResNet86,CIFAR10,1,0.9431
149,ResNet86,CIFAR10,1,0.944
150,ResNet86,CIFAR10,1,0.9434
151,ResNet86,CIFAR10,1,0.9426
152,ResNet86,CIFAR10,1,0.9437
153,ResNet86,CIFAR10,1,0.9422
154,ResNet86,CIFAR10,1,0.9444
155,ResNet86,CIFAR10,1,0.9441
156,ResNet86,CIFAR10,1,0.9435
157,ResNet86,CIFAR10,1,0.9437
158,ResNet86,CIFAR10,1,0.9429
159,ResNet86,CIFAR10,1,0.9438
160,ResNet86,CIFAR10,1,0.9439
161,ResNet86,CIFAR10,1,0.9436
162,ResNet86,CIFAR10,1,0.9442
163,ResNet86,CIFAR10,1,0.9447
164,ResNet86,CIFAR10,1,0.9449
165,ResNet86,CIFAR10,1,0.9437
166,ResNet86,CIFAR10,1,0.9436
167,ResNet86,CIFAR10,1,0.9444
168,ResNet86,CIFAR10,1,0.9439
169,ResNet86,CIFAR10,1,0.9428
170,ResNet86,CIFAR10,1,0.9432
171,ResNet86,CIFAR10,1,0.9443
